"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
25,"H5 Adult - Chiron Study of Bird Flu Vaccine","Completed","No Results Available","Influenza","Biological: Aluminum hydroxide|Biological: Inactivated Influenza A/H5N1 Vaccine (Chiron)|Biological: MF-59|Drug: Placebo","Stanford University, Stanford, California, United States|Saint Louis University, St. Louis, Missouri, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00280033"
26,"Study to Evaluate the Safety of a Monovalent Vaccine of a New 6:2 Reassortant in Healthy Adults (AV024)","Completed","No Results Available","Influenza","Biological: AV024|Other: Placebo","SFBC International Inc, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT00240877"
27,"H5 Vaccine Alone or With Adjuvant in Healthy Adults","Completed","No Results Available","Influenza","Drug: Aluminum hydroxide|Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur pre-adsorbed)","University of Maryland Baltimore, Baltimore, Maryland, United States|University of Rochester, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00296634"
28,"Study of the Safety and Immunogenicity of an Influenza Vaccine Administered to Healthy Adults","Completed","Has Results","Influenza Disease; Flu","Biological: Influenza Virus Vaccine","Bardstown, Kentucky, United States|Pittsburgh, Pennsylvania, United States|Salt Lake City, Utah, United States|Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00264576"
29,"Study to Evaluate the Immune Responses of Trivalent Cold-Adapted Influenza Vaccine (CAIV-T) Compared With (TIV)","Completed","No Results Available","Influenza","Biological: CAIV-T|Other: TIV","Wee Care Pediatrics, Layton, Utah, United States|Bear Care Pediatrics, Ogden, Utah, United States|Alpine Pediatrics, Pleasant Grove, Utah, United States|Utah Valley Pediatrics, Provo, Utah, United States|Families First Pediatrics, South Jordan, Utah, United States","https://ClinicalTrials.gov/show/NCT00111579"
30,"Studies of Influenza Vaccine and Tetanus-Pneumococcal Vaccine in HIV-infected Patients Receiving Interleukin-2","Completed","No Results Available","HIV Infections","Drug: Interleukin-2","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States|Hvidovre University Hospital@@@Copenhagen, Denmark, Copenhagen, Denmark","https://ClinicalTrials.gov/show/NCT00050726"
31,"Evaluation of Responses to Fluzone® in Infants ≥ 6 Months of Age Who Did or Did Not Receive Fluzone® at 2 Months of Age","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine","Little Rock, Arkansas, United States|Marietta, Georgia, United States|Durham, North Carolina, United States|Dayton, Ohio, United States|Pittsburgh, Pennsylvania, United States|Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00885105"
32,"Safety and Immunogenicity Testing of Influenza Vaccine in Healthy Children 2 Months and 6 Months of Age","Completed","Has Results","Influenza","Biological: Influenza virus vaccine (2004-2005 Formulation)","Little Rock, Arkansas, United States|Marietta, Georgia, United States|Durham, North Carolina, United States|Akron, Ohio, United States|Dayton, Ohio, United States|Pittsburgh, Pennsylvania, United States|Norfolk, Virginia, United States|Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00858468"
33,"Immunogenicity, Safety and Tolerability of CSL Limited Inactivated Influenza Vaccine in Adults","Completed","No Results Available","Influenza","Biological: CSL Trivalent Inactivated Influenza Vaccine - Thimerosal-free|Biological: CSL Trivalent Inactivated Influenza Vaccine with Thimerosal|Biological: Placebo with Thimerosal","Stanford University, Stanford, California, United States|University of Iowa, Iowa City, Iowa, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|Saint Louis University, St. Louis, Missouri, United States|University of Rochester, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States|Clinical Alliance for Research & Education - Infectious Diseases, Annandale, Virginia, United States","https://ClinicalTrials.gov/show/NCT00333398"
34,"Study Comparing the Immune Response of Fluarix and Fluzone Influenza Vaccines","Completed","No Results Available","Influenza","Biological: Influenza","GSK Investigational Site, Clearwater, Florida, United States|GSK Investigational Site, Evansville, Indiana, United States|GSK Investigational Site, Baltimore, Maryland, United States|GSK Investigational Site, St. Louis, Missouri, United States|GSK Investigational Site, Buffalo, New York, United States|GSK Investigational Site, Poughkeepsie, New York, United States|GSK Investigational Site, Cincinnati, Ohio, United States|GSK Investigational Site, Carnegie, Pennsylvania, United States|GSK Investigational Site, Erie, Pennsylvania, United States|GSK Investigational Site, Philadelphia, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Warwick, Rhode Island, United States|GSK Investigational Site, Houston, Texas, United States|GSK Investigational Site, Katy, Texas, United States|GSK Investigational Site, Marshfield, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00197288"
35,"Comparison of Delivery Routes of Flu Vaccine in Adults","Completed","No Results Available","Influenza","Biological: Trivalent inactivated influenza vaccine","Stanford University School of Medicine, Stanford, California, United States|UCLA Center For Vaccine Research, Torrance, California, United States|University of Iowa - Vaccine Research & Education Unit, Iowa City, Iowa, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|Saint Louis University, St. Louis, Missouri, United States|University of Rochester Medical Center - Strong Memorial Hospital - Infectious Diseases, Rochester, New York, United States|Duke Health Center, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00170547"
36,"Trial to Assess the Shedding,Immunogenicity, and Safety of FluMist Administered to Healthy Individuals 5-49 Years of Age","Completed","No Results Available","Influenza","Biological: FluMist","SFBC International, Inc, Miami, Florida, United States|Children's Memorial Hospital, Chicago, Illinois, United States|Kentucky Pediatric / Adult Research, Inc, Bardstown, Kentucky, United States|University of Maryland, School of Medicine, Baltimore, Maryland, United States|Center for Vaccine Development, Saint Louis, Missouri, United States|Creighton University Medical Center, Omaha, Nebraska, United States|Pediatric Clinical Trials International, Columbus, Ohio, United States|Primary Physician's Research Inc., Pittsburgh, Pennsylvania, United States|Vanderbilt University Medical Center North, Nashville, Tennessee, United States|University of Virginia, Elson Student Health Center, Charlottesville, Virginia, United States|Marshall University Medical Center, Huntington, West Virginia, United States","https://ClinicalTrials.gov/show/NCT00192140"
37,"Comparison of GSKBiologicals' Hib-MenCY-TT Vaccine vs Licensed Hib Conjugate or Meningococcal Vaccine","Completed","Has Results","Haemophilus Influenzae Type b|Neisseria Meningitidis","Biological: GSK Biologicals' Haemophilus influenza type b and Neisseria meningitidis serogroups C and Y-tetanus toxoid conjugate vaccine 792014 vaccine|Biological: ActHIB|Biological: Pediarix|Biological: Prevnar|Biological: Menomune","GSK Investigational Site, Little Rock, Arkansas, United States|GSK Investigational Site, Fountain Valley, California, United States|GSK Investigational Site, Centennial, Colorado, United States|GSK Investigational Site, Norwich, Connecticut, United States|GSK Investigational Site, Marietta, Georgia, United States|GSK Investigational Site, Des Moines, Iowa, United States|GSK Investigational Site, Bardstown, Kentucky, United States|GSK Investigational Site, Louisville, Kentucky, United States|GSK Investigational Site, Louisville, Kentucky, United States|GSK Investigational Site, Bossier City, Louisiana, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, New Bedford, Massachusetts, United States|GSK Investigational Site, Bronx, New York, United States|GSK Investigational Site, Rochester, New York, United States|GSK Investigational Site, Boardman, Ohio, United States|GSK Investigational Site, University Heights, Ohio, United States|GSK Investigational Site, Beaver Falls, Pennsylvania, United States|GSK Investigational Site, Erie, Pennsylvania, United States|GSK Investigational Site, Greenville, Pennsylvania, United States|GSK Investigational Site, Norristown, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, Rydal, Pennsylvania, United States|GSK Investigational Site, Warwick, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT00129129"
38,"A Study to Evaluate the Shedding and Safety of Trivalent Influenza Virus Vaccine Live, Intranasal in Infants and Young Children","Completed","Has Results","Healthy","Biological: Trivalent influenza virus vaccine live, intranasal","Little Rock Allergy & Asthma Clinic, PA, Little Rock, Arkansas, United States|Pediatric and Adolescent Medicine, PA (PAMPA), Marietta, Georgia, United States|Kentucky Pediatrics/Adult Research, Bardstown, Kentucky, United States|Benchmark Research, Metairie, Louisiana, United States|Health Sciences Research Center, Cortland, New York, United States|Health Sciences Research Center, Elmira, New York, United States|Regional Clinical Research Inc., Endwell, New York, United States|Grand Prairie Pediatrics & Allergy Clinic, Oklahoma City, Oklahoma, United States|Primary Physicians Research , Inc, Pittsburgh, Pennsylvania, United States|Med-Pro Research Inc., Houston, Texas, United States|Central Texas Health Research, New Braunfels, Texas, United States|Benchmark Research, San Angelo, Texas, United States|Wee Care Pediatrics, Layton, Utah, United States|Utah Valley Pediatrics, Provo, Utah, United States|PI-Coor Clinical Research, LLC, Burke, Virginia, United States|Advanced Pediatrics, Vienna, Virginia, United States","https://ClinicalTrials.gov/show/NCT00344305"
39,"Study of the Safety, Immunogenicity and Lot Comparability of DAPTACEL When Administered With Other Recommended Vaccine","Completed","No Results Available","Diphtheria|Tetanus|Whooping Cough|Polio|Haemophilus Influenzae Type b","Biological: DAPTACEL® (Diphtheria and Tetanus Toxoids and Acellular Pertussis vaccine)|Biological: Pentacel: DTaP-IPV/Hib","Fayetteville, AR 72703, Arkansas, United States|Jonesboro, AR 72401, Arkansas, United States|Little Rock, AR 72211, Arkansas, United States|Fountain Valley, CA 92708, California, United States|Englewood, CO 80112, Colorado, United States|Norwich, CT 06360, Connecticut, United States|Orlando, FL 32856, Florida, United States|Marietta, GA 30062, Georgia, United States|Chicago, IL 60614, Illinois, United States|Bardstown, KY 40004, Kentucky, United States|Bossier City, LA 71111, Louisiana, United States|Bridgeton, MO 63044, Missouri, United States|Rochester, NY 14620, New York, United States|Chapel Hill, NC 27514, North Carolina, United States|Portland, OR 97201, Oregon, United States|Norristown, PA 19401, Pennsylvania, United States|Pittsburgh, PA 15213, Pennsylvania, United States|Pittsburgh, PA 15241, Pennsylvania, United States|Kingsport, TN 37664, Tennessee, United States|Austin, TX 78758, Texas, United States|Fort Worth, TX 76107, Texas, United States|San Antonio, TX 78205, Texas, United States|Provo, UT 84604, Utah, United States|Spokane, WA 99220, Washington, United States|LaCrosse, WI 54601, Wisconsin, United States|Marshfield, WI 54449, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00662870"
40,"Study of the Effect of Pneumococcal Conjugate Vaccine (PCV) on Immunogenicity of Pentacel™","Completed","Has Results","Diphtheria|Tetanus|Haemophilus Infection|Pertussis|Polio","Biological: Pentacel™: HCPDT-IPV//PRP-T Vaccine and Prevnar®","Montgomery, Alabama, United States|Fayetteville, Arkansas, United States|Jonesboro, Arkansas, United States|Little Rock, Arkansas, United States|Fountain Valley, California, United States|Oakland, California, United States|Rolling Hills Estate, California, United States|Norwich, Connecticut, United States|Bardstown, Kentucky, United States|Louisville, Kentucky, United States|Boston, Massachusetts, United States|Kansas City, Missouri, United States|Brooklyn, New York, United States|Norristown, Pennsylvania, United States|Pittsburgh, Pennsylvania, United States|Austin, Texas, United States|Fort Worth, Texas, United States|San Antonio, Texas, United States|San Antonio, Texas, United States|Layton, Utah, United States|Spokane, Washington, United States|Vancouver, Washington, United States|Lacrosse, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00772928"
41,"Study of DAPTACEL® Administered as a 5th Dose in 4 to 6-Year-Old Children Previously Immunized With PENTACEL™","Completed","Has Results","Diphtheria|Tetanus|Pertussis|Polio|Haemophilus Infection","Biological: Diphtheria and Tetanus Toxoids and Acellular Pertussis (DAPTACEL®)","Jonesboro, Arkansas, United States|Little Rock, Arkansas, United States|Oakland, California, United States|Torrance, California, United States|Orlando, Florida, United States|Atlanta, Georgia, United States|Boston, Massachusetts, United States|Woburn, Massachusetts, United States|Omaha, Nebraska, United States|Albany, New York, United States|Rochester, New York, United States|Chapel Hill, North Carolina, United States|Sylva, North Carolina, United States|Pittsburgh, Pennsylvania, United States|Nashville, Tennessee, United States|San Antonio, Texas, United States|Layton, Utah, United States|Vancouver, Washington, United States|Marshfield, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT00802867"
