"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
16,"Randomized Trial of High Dose Influenza Vaccine in Long Term Care Setting","Completed","Has Results","Influenza","Biological: High Dose Inactivated Influenza Vaccine|Biological: Standard Dose Inactivated Influenza Vaccine","University of Pittsburgh, Division of Geriatric Medicine, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01654224"
17,"Comparative Safety and Immunogenicity of 1.0 µg Intramuscular (i.m.) and 2.0 µg Subcutaneous (s.c.) Dosing With VAX102 (M2e-flagellin) Universal Influenza Vaccine in Healthy Adults","Completed","Has Results","Influenza","Biological: VAX102","Jean Brown Research, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00921947"
18,"Influenza Immunity Against Pandemic Respiratory Virus","Completed","No Results Available","Influenza","Biological: FluMist|Biological: Fluzone","Stanford University, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT00138281"
19,"St. Jude Open Label H5 Trial","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","St. Jude Children's Research Hospital, Memphis, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00311675"
20,"Higher Dose Intradermal H5 Vaccine","Completed","Has Results","Influenza","Biological: Inactivated Influenza A Vaccine A/H5N1|Drug: Placebo (IM)|Drug: Placebo (ID)","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00439335"
21,"Proteomic Profiling for Influenza Vaccination - FluMist","Completed","No Results Available","Influenza","Biological: FluMist","Eastern Virginia Medical School, Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00385281"
22,"Interferon as a Mucosal Adjuvant for Influenza Vaccine Given Intranasally","Completed","Has Results","Influenza","Biological: Trivalent inactivated influenza virus vaccine (2006-2007 formulation)|Biological: Type 1 interferon","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00436046"
23,"Immunogenicity and Safety of Different Doses of Fluzone® Influenza","Completed","No Results Available","Influenza","Biological: Fluzone® (IM)|Biological: Fluzone®","Saint Louis University, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00253734"
24,"Safety Study of an Oral Vaccine to Prevent Seasonal Influenza","Completed","No Results Available","Influenza","Biological: VXA-A1.1 Oral Vaccine|Biological: VXA Placebo Tablet","WCCT, Cypress, California, United States","https://ClinicalTrials.gov/show/NCT01688297"
25,"Plasmablast Trafficking and Antibody Response in Influenza Vaccination (SLVP021 2011-2014)","Completed","Has Results","Influenza","Biological: Fluzone® (IM)|Biological: Fluzone® Intradermal (ID)|Biological: 2011-2012 FluMist®","Stanford LPCH Vaccine Program, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT02141581"
26,"Safety Study of Anti-Influenza Virus Monoclonal Antibody to Treat Influenza","Completed","No Results Available","Influenza, Human","Biological: TCN-032|Biological: Placebo","SNBL Clinical Pharmacology Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01390025"
27,"Revaccination With Subunit Influenza A/Vietnam/1203/2004 (H5N1) Vaccine","Completed","No Results Available","Influenza","Biological: Influenza A/Vietnam/1203/2004 (H5N1; sanofi pasteur)","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00240903"
28,"Influenza Antiviral DAS-181-F04 in Healthy Adults","Completed","No Results Available","Influenza","Drug: DAS181|Other: Placebo","Johns Hopkins Bayview Medical Center - Infectious Diseases, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01651494"
29,"T-cell And General Immune Response to Seasonal Influenza Vaccine (SLVP018) - Year 1, 2009","Completed","Has Results","Influenza","Biological: Fluzone® (intramuscular)|Biological: FluMist® (intranasal)","Stanford University School of Medicine, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT01987349"
30,"Comparison of Immune Responses to Influenza Vaccine In Adults of Different Ages (SLVP015 2007-2017)","Completed","Has Results","Influenza","Biological: Trivalent, inactivated influenza vaccine (TIV)|Biological: Quadrivalent, inactivated influenza vaccine (IIV4)|Biological: High-Dose Trivalent, inactivated influenza vaccine (TIV High-Dose)","Stanford University School of Medicine, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT01827462"
31,"A Study to Evaluate the Safety and Immune Responses to Fluzone® Vaccination","Completed","Has Results","Influenza","Biological: Split, Inactivated, Trivalent Influenza vaccine (Fluzone®)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00743275"
32,"A Study to Evaluate the Safety and Immune Responses to Fluzone® Vaccination","Completed","Has Results","Influenza","Biological: Influenza virus vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00835926"
33,"The Immunologic Basis for an Attenuated Immune Response to the Influenza Vaccine After Repeated Annual Vaccination","Completed","Has Results","Influenza","Biological: 2016-2017 Influenza Vaccine","The Hope Clinic of the Emory Vaccine Center, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT02876159"
34,"Inactivated Influenza Vaccine Delivered by Microneedle Patch or by Hypodermic Needle","Completed","Has Results","Influenza","Biological: Inactivated influenza vaccine|Other: Placebo","The Hope Clinic, Decatur, Georgia, United States","https://ClinicalTrials.gov/show/NCT02438423"
35,"Bacterial Composition and Immune Responses in the Nose and Oropharynx During Influenza Infection","Completed","No Results Available","Influenza","Biological: LAIV|Other: Saline","UCLA, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT02597647"
36,"Assessment of CR8020, a Monoclonal Antibody Against Influenza A Viruses","Completed","No Results Available","Influenza","Biological: 2 mg/kg CR8020|Biological: 5 mg/kg CR8020|Biological: 15 mg/kg CR8020|Biological: 30 mg/kg CR8020|Biological: 50 mg/kg CR8020|Biological: Placebo","Quintiles Early Clinical Development, Overland Park, Kansas, United States","https://ClinicalTrials.gov/show/NCT01756950"
37,"H7 Influenza Prime-Boost Regimens in Healthy Adults: Recombinant H7 DNA Plasmid Vaccine, VRC-FLUDNA071-00-VP, Administered Alone or With Monovalent Influenza Subunit Virion H7N9 Vaccine (MIV) as Prime With MIV Boost Compared to MIV Prime With MIV Boo...","Completed","No Results Available","Influenza","Biological: A/Shanghai/02/2013 (H7N9) MIV|Biological: VRC-FLUDNA071-00-VP","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT02206464"
38,"Assessment of CR6261, a Monoclonal Antibody Against the Influenza A Virus","Completed","No Results Available","Influenza","Biological: CR6261 2 mg/kg|Biological: CR6261 5 mg/kg|Biological: CR6261 15 mg/kg|Biological: CR6261 30 mg/kg|Biological: CR6261 50 mg/kg|Biological: Placebo","Quintiles Early Clinical Development, Overland Park, Kansas, United States","https://ClinicalTrials.gov/show/NCT01406418"
39,"Phase IV Trial to Determine the Safety and Immunogenicity of the WHO Formulation of the 2006-2007 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine (2006-2007 Fluzone® vaccine)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00389532"
40,"Phase 1 Safety and Immunogenicity Study in Healthy Adults of VAX125, a Recombinant HA-flagellin Influenza Vaccine","Completed","No Results Available","Influenza","Biological: VAX125","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00730457"
41,"Safety and Immunogenicity of the 2005-2006 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Fluzone®: Influenza Virus Vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00258830"
42,"Safety of Synbiotics as Adjuvant to Influenza Vaccine in Elderly","Completed","No Results Available","Influenza","Biological: Synbiotic AKSB","Mayo Clinic, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01304771"
43,"Safety and Immunogenicity of Live Influenza A Vaccine for Avian Influenza H7N7","Completed","No Results Available","Influenza A","Biological: Influenza A H7N7 vaccine","University of Rochester Medical Center, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00922259"
44,"Self-Administered Nasal Influenza Feasibility Study","Completed","Has Results","Influenza","Drug: FluMist","Naval Medical Center San Diego, San Diego, California, United States|San Antonio Military Health System, Fort Sam Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01933048"
45,"Safety and Immunogenicity of the World Health Organization (WHO) Formulation of the 2004-2005 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Fluzone®: Influenza virus vaccine 2004-2005 formulation","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00831987"
46,"Safety, Reactogenicity and Immunogenicity of Flublok Quadrivalent (Recombinant Influenza Vaccine,Seasonal Formulation)","Completed","Has Results","Influenza","Biological: Flublok® Quadrivalent Influenza Virus Vaccine|Biological: Fluarix Quadrivalent® Influenza Virus Vaccine","Maine Research Associates, LLC, Auburn, Maine, United States","https://ClinicalTrials.gov/show/NCT01959945"
47,"Study to Collect Sera for Immunogenicity Testing in Children Vaccinated With Fluzone®","Completed","Has Results","Influenza","Biological: Influenza virus vaccine (Pediatric formulation)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00836953"
48,"Phase 2B Study on Safety and Therapeutic Efficacy of DAS181 in Adult Subjects With Naturally Acquired Influenza","Completed","No Results Available","Influenza","Drug: DAS181-F02 formulation|Drug: DAS181-F04 formulation|Drug: Placebo","Nexbio, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT01740063"
49,"Phase IV Trial to Collect Safety Data and Sera in Healthy Children Given Fluzone Vaccine","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine (Fluzone®)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00258817"
50,"Trial to Describe the Safety and Immunogenicity of Fluzone®","Completed","Has Results","Influenza","Biological: Inactivated, Split-Virion Influenza Virus","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00524940"
51,"Safety and Immunogenicity of Fluzone® Quadrivalent and Fluzone® High-Dose, Influenza Vaccines, 2016-2017 Formulations","Completed","Has Results","Influenza","Biological: Fluzone Quadrivalent vaccine, 2016-2017 formulation, No Preservative|Biological: Fluzone High-Dose, vaccine, 2016-2017 formulation","Bardstown, Kentucky, United States|Metairie, Louisiana, United States","https://ClinicalTrials.gov/show/NCT02908269"
52,"Safety and Immunogenicity of Influenza Vaccine (Surface Antigen, Inactivated) Ph.Eur, Formulation 2010/2011, When Administered to Adult and Elderly Subjects","Completed","No Results Available","Seasonal Influenza","Biological: Influenza Vaccine (Surface Antigen, Inactivated) Ph.Eur, Formulation 2010/2011","Cambridge, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT01161264"
53,"Safety and Immunogenicity of the 2015-2016 Formulation of Fluzone® Quadrivalent (Influenza Vaccine) Among Healthy Children","Completed","Has Results","Influenza","Biological: Fluzone® Quadrivalent Influenza Vaccine, No Preservative","Bardstown, Kentucky, United States|Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT02539108"
54,"Study of Safety and Immunogenicity of Fluzone® in Healthy Children","Completed","Has Results","Influenza","Biological: Influenza Vaccine 2004-2005 Paediatric Formulation","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00831675"
55,"Phase IV Trial to Collect Safety Data and Sera for Immunogenicity Testing in Healthy Children Given Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: 2007-2008 Influenza Virus Vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00561002"
56,"Safety and Immunogenicity Among Healthy Children Receiving Fluzone® Quadrivalent Influenza Virus Vaccine","Completed","Has Results","Influenza","Biological: Fluzone® Quadrivalent Influenza Virus Vaccine, No Preservative","Bardstown, Kentucky, United States|Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT01946425"
57,"Study of the Safety and Immunogenicity of a Novel H5N1 Influenza Vaccine in Healthy Adults Age 18-49","Completed","No Results Available","Influenza","Biological: VAX161C vaccine","Miami Research Associates, South Miami, Florida, United States|Johnson County Clinical Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT01658800"
58,"Safety Study of an Oral Vaccine to Prevent Avian Influenza","Completed","No Results Available","Avian Influenza|Bird Flu","Biological: ND1.1|Biological: Placebo control","San Diego, California, United States","https://ClinicalTrials.gov/show/NCT01335347"
59,"Trivalent Baculovirus-expressed Influenza HA Vaccine in Adults With Non-Hodgkin's B-cell Lymphoma","Completed","No Results Available","Influenza","Biological: Trivalent inactivated influenza vaccine|Biological: Trivalent Baculovirus-expressed Influenza HA vaccine","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00307177"
60,"Systems Biology of Influenza A (H5N1) Virus Monovalent Vaccine With and Without Adjuvant System 03 (AS03)","Completed","Has Results","Influenza A Virus, H5N1 Subtype","Biological: H5N1 vaccine plus AS03 adjuvant|Biological: H5N1 vaccine without adjuvant","The Hope Clinic - Emory Vaccine Center, Decatur, Georgia, United States","https://ClinicalTrials.gov/show/NCT01910519"
61,"Clinical Trial Assessing the Immunologic Response to a Influenza Vaccine Delivered Using an Jet Injection Device or a Needle Syringe","Completed","Has Results","Influenza Prophylaxis","Device: Stratis Jet Injector|Device: Needle and Syringe|Biological: 2011-2012 Fluzone trivalent inactivated influenza vaccine","Bel-Rea Institute, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT01644149"
62,"Safety and Immunogenicity Among Healthy Children Receiving Fluzone® Quadrivalent, Influenza Vaccine","Completed","Has Results","Influenza","Biological: Fluzone® Quadrivalent Influenza Vaccine, No Preservative","Bardstown, Kentucky, United States|Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT02222870"
63,"Comparative Safety and Immunogenicity of VAX128A, VAC128B and VAX128C Novel H1N1 Influenza Vaccine in Healthy Adults","Completed","No Results Available","Influenza","Biological: VAX128|Biological: Placebo","Miami Research Associates, Miami, Florida, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT01172054"
64,"Study of Immune Responses in Healthy Adults Receiving Live Influenza Virus Vaccines","Completed","No Results Available","Influenza, Human","Biological: A/swine/Missouri/4296424/2006 (H2N3) x A/Ann Arbor/6/60 ca (H2N3 MO 2006/AA ca)|Biological: A/chicken/Hong Kong/G9/97 (H9N2) x A/Ann Arbor/6/60 ca (H9N2 G9/AA ca)|Biological: 2012-2013 trivalent seasonal live attenuated influenza vaccine (FluMist®)|Biological: Vaccine placebo (Leibovitz-15 [L-15])|Biological: Vaccine placebo (FluMist®)","University of Rochester Medical Center: Facility for Evaluation of Flu Vaccines, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT01674205"
65,"Effects of Age on Response to the 2009 H1N1 Virus Vaccine","Completed","Has Results","2009 H1N1 Influenza Virus","Biological: 2009 H1N1 Virus Vaccine","University of Rochester Medical Center, Vaccine Research Unit, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT01055184"
66,"Half vs Full Dose Influenza Vaccine","Completed","No Results Available","Influenza","Biological: Fluzone® (Aventis Pasteur inactivated influenza vaccine)","Pentagon, Washington, District of Columbia, United States|Walter Reed Army Medical Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT00283283"
67,"Safety and Immunogenicity Among Healthy Children Receiving Fluzone® Influenza Virus Vaccine (2012-2013 Formulation)","Completed","Has Results","Influenza","Biological: Fluzone®: Influenza Virus Vaccine, No Preservative: Pediatric Dose|Biological: Fluzone®; Influenza Virus Vaccine, No Preservative","Bardstown, Kentucky, United States|Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT01691326"
68,"Phase II Study to Investigate the Kinetics of the Immune Response Generated by Influenza Virus Vaccine.","Completed","No Results Available","Influenza","Biological: CAIV-T|Biological: TIV|Biological: Placebo","David M. Radin, MD, Stamford, Connecticut, United States","https://ClinicalTrials.gov/show/NCT00192309"
69,"REDucing Influenza Among University Students, University of California at Berkeley","Completed","No Results Available","Influenza-like Illness|Influenza","Behavioral: Online education","University of California, Berkeley, Berkeley, California, United States","https://ClinicalTrials.gov/show/NCT00448773"
70,"Safety and Immunogenicity of a Novel H5N1 Influenza Vaccine in Healthy Adults Age 18-49 Years","Completed","No Results Available","Influenza","Biological: VAX161 [STF2.HA5 H5N1]","Miami Research Associates, Miami, Florida, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT01560793"
71,"Inactivated Influenza Vaccine in Infants 10-22 Weeks of Age","Completed","No Results Available","Influenza","Biological: Fluzone","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00231920"
72,"High Dose Influenza Vaccine in Nursing Home - Pilot Study","Completed","Has Results","Influenza","Biological: HD Fluzone Vaccine|Biological: SD Fluzone Vaccine","Brown Univeristy, Providence, Rhode Island, United States|Insight Therapeutics, Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT01720277"
73,"Evaluating the Safety and Immunogenicity of a H7N9 Vaccine for the Prevention of Influenza H7N9 Disease in Adults 50 to 70 Years Old","Completed","No Results Available","Influenza A Virus, H7N9 Subtype","Biological: H7N9 Anhui 2013/AA ca|Biological: Inactivated subvirion H7N9 vaccine","University of Rochester Medical Center, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT02274545"
74,"VRC 307: A Double-Blind, Randomized Phase I Study of the Safety and Immunogenicity of a Prime-Boost Schedule of the Investigational DNA Trivalent Influenza Vaccine, VRC-FLUDNA047-00-VP, Followed by the 2008/2009 Seasonal Influenza Trivalent Inactivat...","Completed","No Results Available","Influenza, Human","Drug: VRC-FLUDNA047-00-VP|Drug: Flulaval (Registered) Seasonal Influenza Vaccine","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00858611"
75,"Safety and Immunogenicity of a Live Attenuated H7N9 Influenza Virus Vaccine in Healthy Adults","Completed","No Results Available","Influenza A Virus, H7N9 Subtype","Biological: Live attenuated H7N9 A/Anhui/13 ca influenza virus vaccine|Biological: Inactivated subvirion H7N9 influenza vaccine","University of Rochester Medical Center, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT01995695"
76,"Effect of Age and Prior Immunity to Response to Seasonal Influenza Vaccines in Children","Completed","Has Results","Influenza","Biological: Live attenuated Influenza vaccine|Biological: Trivalent Influenza Vaccine|Biological: TIV followed by LAIV|Biological: LAIV followed by TIV","Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Vaccine Research Unit Room 3-5000, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT01246999"
77,"Evaluating the Safety and Immune Response to a Live H7N9 Influenza Virus Vaccine Followed by an Inactivated H7N9 Influenza Virus Vaccine, Given at Varying Intervals","Completed","No Results Available","Influenza A Virus, H7N9 Subtype","Biological: H7N9 A/Anhui/13 ca influenza virus vaccine|Biological: Inactivated subvirion H7N9 vaccine","Johns Hopkins Bayview Medical Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02151344"
78,"Safety of VAX102 Vaccine Given With Seasonal Flu Vaccine in Healthy Adults","Completed","No Results Available","Influenza","Biological: VAX102|Biological: Placebo","Johnson County Clin Trials, Lenexa, Kansas, United States|Vanderbilt Clinical Trials Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00921973"
79,"Vaccine for Prevention of Bird Flu","Completed","No Results Available","Influenza, Human","Drug: Monovalent Influenza Subunit Virion (H5N1) Vaccine, A/Indonesia/05/2005|Drug: VRC-AViDNA036-00-VP","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00776711"
80,"Safety, Tolerability and Immunogenicity of a Plant-Made H1 VLP Influenza Vaccine in Adults","Completed","No Results Available","Flu","Biological: Dose given at Day 0","Accelovance, Rockville, Maryland, United States","https://ClinicalTrials.gov/show/NCT01302990"
81,"Phase I Safety and Immunogenicity Study of VAX102 [Flagellin.HuM2e] Influenza Vaccine in Healthy Adults","Completed","No Results Available","Influenza Infection","Biological: VAX102 [Flagellin.HuM2e]|Biological: Placebo","Johnson County Clinical Trials, Lenexa, Kansas, United States|Sealy Vaccine Center, UTMB, Galveston, Texas, United States","https://ClinicalTrials.gov/show/NCT00603811"
82,"H7N9 Boost in Healthy Adults","Completed","No Results Available","Influenza","Biological: Monovalent influenza A/H7N9 virus vaccine","Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02586792"
83,"Immunogenicity of Seasonal Influenza by Delivery Directly to Ileum","Completed","No Results Available","Seasonal Influenza","Biological: VXA-A1.1","Scintipharma, Lexington, Kentucky, United States","https://ClinicalTrials.gov/show/NCT01761123"
84,"An Open-Label, Randomized Phase I Study in Healthy Adults of the Safety and Immunogenicity of Prime-Boost Intervals With Monovalent Influenza Subunit Virion (H5N1) Vaccine, A/Indonesia/05/2005 (Sanofi Pasteur, Inc.) Administered Alone or Following Re...","Completed","No Results Available","Influenza A Virus, H5N1 Subtype","Biological: VRC-AVIDNA036-00-VP|Biological: Monovalent Influenza Subunit Virion (Inactive H5N1) Vaccine","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01086657"
85,"Evaluating the Safety and Immune Response to an H5N1 Influenza Vaccine in People Who Have Previously Received an H5N1 or H7N3 Influenza Vaccine and in People Who Have Never Received a Live Attenuated Influenza Vaccine","Completed","No Results Available","H5N1 Influenza","Biological: H5N1 Vaccine","Centers for Immunization Research (CIR) - John Hopkins Bloomburg School of Public Health, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT01443663"
86,"A Study of VIS410 to Assess Safety and Pharmacokinetics","Completed","No Results Available","Influenza","Drug: VIS410|Drug: Placebo","DaVita Clinical Research, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT02045472"
87,"Safety, Reactogenicity and Immunogenicity of an H5N1 VLP","Completed","No Results Available","Pandemic Influenza","Biological: H5N1 VLP Vaccine|Biological: Placebo","Healthcare Discoveries, Inc., San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT00519389"
88,"Safety and Immune Response to Recombinant Live-Attenuated Influenza H2N2 Virus Vaccine","Completed","No Results Available","Influenza|Virus Diseases","Biological: H2N2 1960 AA ca recombinant vaccine","Johns Hopkins Bayview Medical Center, CIR Unit at the Mason F Lord Building, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00722774"
89,"H5N1 Vaccination With and Without AS03: Systems Biology Analysis","Completed","No Results Available","Influenza","Drug: ASO3 Adjuvant|Biological: Influenza A/H5N1 Vaccine","Vanderbilt University - Pediatric - Vanderbilt Vaccine Research Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01573312"
90,"Safety and Immune Response Study of GSK Biologicals' Influenza Virus Vaccine 1388442A Compared With Fluarix","Completed","Has Results","Influenza","Biological: Trivalent influenza vaccine GSK 138842A|Biological: Fluarix","GSK Investigational Site, Miami, Florida, United States|GSK Investigational Site, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00693706"
91,"Study of High-dose Influenza Vaccine Efficacy by Repeated Dosing In Gammopathy Patients","Completed","No Results Available","Influenza|Gammopathy","Drug: Fluzone","Yale University, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT02267733"
