"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
17,"A Study to Evaluate the Safety and Immune Responses to Fluzone® Vaccination","Completed","Has Results","Influenza","Biological: Split, Inactivated, Trivalent Influenza vaccine (Fluzone®)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00743275"
18,"A Study to Evaluate the Safety and Immune Responses to Fluzone® Vaccination","Completed","Has Results","Influenza","Biological: Influenza virus vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00835926"
19,"Phase IV Trial to Determine the Safety and Immunogenicity of the WHO Formulation of the 2006-2007 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine (2006-2007 Fluzone® vaccine)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00389532"
20,"Phase 1 Safety and Immunogenicity Study in Healthy Adults of VAX125, a Recombinant HA-flagellin Influenza Vaccine","Completed","No Results Available","Influenza","Biological: VAX125","University of Rochester, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00730457"
21,"Safety and Immunogenicity of the 2005-2006 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Fluzone®: Influenza Virus Vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00258830"
22,"Safety and Immunogenicity of the World Health Organization (WHO) Formulation of the 2004-2005 Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: Fluzone®: Influenza virus vaccine 2004-2005 formulation","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00831987"
23,"Study to Collect Sera for Immunogenicity Testing in Children Vaccinated With Fluzone®","Completed","Has Results","Influenza","Biological: Influenza virus vaccine (Pediatric formulation)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00836953"
24,"Phase IV Trial to Collect Safety Data and Sera in Healthy Children Given Fluzone Vaccine","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine (Fluzone®)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00258817"
25,"Trial to Describe the Safety and Immunogenicity of Fluzone®","Completed","Has Results","Influenza","Biological: Inactivated, Split-Virion Influenza Virus","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00524940"
26,"Study of Safety and Immunogenicity of Fluzone® in Healthy Children","Completed","Has Results","Influenza","Biological: Influenza Vaccine 2004-2005 Paediatric Formulation","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00831675"
27,"Phase IV Trial to Collect Safety Data and Sera for Immunogenicity Testing in Healthy Children Given Fluzone® Vaccine","Completed","Has Results","Influenza","Biological: 2007-2008 Influenza Virus Vaccine","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00561002"
28,"Trivalent Baculovirus-expressed Influenza HA Vaccine in Adults With Non-Hodgkin's B-cell Lymphoma","Completed","No Results Available","Influenza","Biological: Trivalent inactivated influenza vaccine|Biological: Trivalent Baculovirus-expressed Influenza HA vaccine","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00307177"
29,"Half vs Full Dose Influenza Vaccine","Completed","No Results Available","Influenza","Biological: Fluzone® (Aventis Pasteur inactivated influenza vaccine)","Pentagon, Washington, District of Columbia, United States|Walter Reed Army Medical Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT00283283"
30,"Phase II Study to Investigate the Kinetics of the Immune Response Generated by Influenza Virus Vaccine.","Completed","No Results Available","Influenza","Biological: CAIV-T|Biological: TIV|Biological: Placebo","David M. Radin, MD, Stamford, Connecticut, United States","https://ClinicalTrials.gov/show/NCT00192309"
31,"REDucing Influenza Among University Students, University of California at Berkeley","Completed","No Results Available","Influenza-like Illness|Influenza","Behavioral: Online education","University of California, Berkeley, Berkeley, California, United States","https://ClinicalTrials.gov/show/NCT00448773"
32,"Inactivated Influenza Vaccine in Infants 10-22 Weeks of Age","Completed","No Results Available","Influenza","Biological: Fluzone","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00231920"
33,"Safety of VAX102 Vaccine Given With Seasonal Flu Vaccine in Healthy Adults","Completed","No Results Available","Influenza","Biological: VAX102|Biological: Placebo","Johnson County Clin Trials, Lenexa, Kansas, United States|Vanderbilt Clinical Trials Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00921973"
34,"Phase I Safety and Immunogenicity Study of VAX102 [Flagellin.HuM2e] Influenza Vaccine in Healthy Adults","Completed","No Results Available","Influenza Infection","Biological: VAX102 [Flagellin.HuM2e]|Biological: Placebo","Johnson County Clinical Trials, Lenexa, Kansas, United States|Sealy Vaccine Center, UTMB, Galveston, Texas, United States","https://ClinicalTrials.gov/show/NCT00603811"
35,"Safety, Reactogenicity and Immunogenicity of an H5N1 VLP","Completed","No Results Available","Pandemic Influenza","Biological: H5N1 VLP Vaccine|Biological: Placebo","Healthcare Discoveries, Inc., San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT00519389"
36,"Safety and Immune Response to Recombinant Live-Attenuated Influenza H2N2 Virus Vaccine","Completed","No Results Available","Influenza|Virus Diseases","Biological: H2N2 1960 AA ca recombinant vaccine","Johns Hopkins Bayview Medical Center, CIR Unit at the Mason F Lord Building, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00722774"
37,"Safety and Immune Response Study of GSK Biologicals' Influenza Virus Vaccine 1388442A Compared With Fluarix","Completed","Has Results","Influenza","Biological: Trivalent influenza vaccine GSK 138842A|Biological: Fluarix","GSK Investigational Site, Miami, Florida, United States|GSK Investigational Site, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00693706"
38,"Safety of and Immune Response to Recombinant Live-Attenuated Influenza H6N1 Virus Vaccine Vaccine","Completed","No Results Available","Influenza|Virus Diseases","Biological: H6N1 Teal HK 97/AA ca recombinant vaccine","Johns Hopkins Bayview Medical Center, CIR Unit at the Mason F Lord Building, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00734175"
39,"Safety and Immunogenicity Study of Adenovirus-vectored, Intranasal Pandemic Influenza Vaccine.","Completed","No Results Available","Influenza A Subtype H5N1 Infection","Biological: Pandemic Influenza Vaccine|Biological: Placebo","Alabama Vaccine Research Center (UAB), Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT00755703"
40,"Study to Determine a Preference for Fluzone Vaccine Given Intradermally (ID) and Intramuscularly (IM) in Healthy Adults","Completed","Has Results","Influenza","Biological: Fluzone: Influenza virus vaccine","Grove City, Pennsylvania, United States|Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00623181"
41,"H9 Priming Study in Healthy Adults","Completed","No Results Available","Influenza","Biological: Subvirion inactivated influenza A/H9N2 (G9 variant) vaccine","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00617331"
42,"H5N1 Vaccine Intramuscular Versus Intradermal in Healthy Adults","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A Vaccine A/H5N1","Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00310206"
43,"Trial to Collect Safety Data and Sera for Immunogenicity Testing","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine (Fluzone®)","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00389857"
44,"Safety and Efficacy Study of Fluzone® Vaccine Combined With Different Doses of JVRS-100 Adjuvant","Completed","No Results Available","Influenza","Biological: Fluzone vaccine with JVRS-100 adjuvant|Biological: Fluzone vaccine","Miami Research Associates, Miami, Florida, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT00662272"
45,"Trial to Investigate Immune Responses Elicited by a Liquid Formulation of Influenza Virus Vaccine (CAIV-T) in Healthy Children","Completed","No Results Available","Influenza","Biological: CAIV-T 10^7|Biological: CAIVT 10^5|Biological: Placebo|Biological: TIV","Suncoast Clinical Research, Inc., New Port Richey, Florida, United States|Division of Allergy Immunology and Infectious Disease, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00192322"
46,"Trial to Evaluate Safety and Immunogenicity of Trivalent Seasonal Influenza Virus-Like Particle (VLP) Vaccine (Recombinant)","Completed","No Results Available","Seasonal Influenza","Biological: Influenza VLP Vaccine|Biological: Placebo","University Clinical Research, Inc., Pembroke Pines, Florida, United States|SNBL Clinical Pharmacology Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00903552"
47,"Open Label Evaluation of H5N1 Vaccine at Vaccine Manufacturing Facilities","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A Vaccine A/H5N1","Sanofi Pasteur, Swiftwater, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00311649"
48,"Safety and Dose Study of Peramivir for Influenza Treatment","Completed","No Results Available","Influenza","Drug: Peramivir","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00297050"
49,"Study to Investigate the Immune Response to Two Doses of VAX102 Healthy Adults","Completed","No Results Available","Influenza","Biological: VAX102","Universite of Colorado, Denver, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT00921206"
50,"Single Group Study of the Safety of and Immune Response to a Bird Flu Vaccine (H7N3) in Healthy Adults","Completed","No Results Available","Influenza|Virus Diseases","Biological: Live Influenza A Vaccine H7N3 (6-2) AA ca Recombinant (A/chicken/British Columbia/CN-6/2004 x A/Ann Arbor/6/60 ca)","Center for Immunization Research Inpatient Unit, Mason F. Lord Building, 4940 Eastern Avenue, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00516035"
51,"Safety of and Immune Response to a Bird Flu Virus Vaccine (H9N2) in Healthy Adults (Study B)","Completed","No Results Available","Influenza|Virus Diseases","Biological: H9N2 (6-2) AA ca Reassortant (A/Chicken/Hong Kong/G9/97 x A/Ann Arbor/6/60 ca)","Center for Immunization Research Inpatient Unit, Mason F. Lord Building, Johns Hopkins Bayview Medical Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00380237"
52,"Safety of and Immune Response to a Bird Flu Virus Vaccine (H5N1) in Healthy Adults","Completed","No Results Available","Influenza|Virus Diseases","Biological: H5N1 (6-2) AA ca Recombinant (A/VietNam/1203/2004 x A/AnnArbor/6/60/ca)","Center of Immunization Research (CIR), Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00347672"
53,"Safety of and Immune Response to a Bird Flu Virus Vaccine (H9N2) in Healthy Adults (Study A)","Completed","No Results Available","Influenza|Virus Diseases","Biological: H9N2 (6-2) AA ca Reassortant (A/chicken/Hong Kong/G9/97 x A/Ann Arbor/6/60 ca)","Johns Hopkins School of Public Health, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00110279"
54,"Annual Study for Serum Collection for Immunogenicity and Safety Evaluation in Healthy Children Receiving Fluzone®","Completed","Has Results","Influenza|Orthomyxoviridae Infections","Biological: Influenza Virus Vaccine No Preservative: Pediatric Dose","Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00755274"
55,"Study to Evaluate the Effectiveness of FluMist Vaccination in a School-Based Intervention Program","Completed","No Results Available","Influenza","Biological: FluMist","Division of General Pediatrics, University of Maryland School of Medicine, Baltimore, Maryland, United States|Division of Allergy and Infectious Diseases, University of Washington School of Medicine, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00192218"
56,"Evaluation of Alternative Oseltamivir (Tamiflu) Dosing Strategies.","Completed","No Results Available","Influenza","Drug: Oseltamivir|Drug: Probenecid","VA Palo Alto Health Care System, Palo Alto, California, United States","https://ClinicalTrials.gov/show/NCT00304434"
57,"Immunogenicity and Safety of Trivalent Recombinant Hemagglutinin Influenza Vaccine in Healthy Adults","Completed","No Results Available","Influenza","Biological: Influenza Vaccine, recombinant Hemagglutinin","Rochester Medical Center, Rochester, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|University of Virginia Health System, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT00328107"
58,"Immunogenicity and Safety of FluBlok Trivalent Recombinant Hemagglutinin Influenza Vaccine in Healthy Pediatrics","Completed","No Results Available","Influenza","Biological: Influenza Vaccination","Kentucky pediatric /Adult Research, Bardstown, Kentucky, United States|Saint Louis University, Saint Louis, Missouri, United States|Primary Physicians Research, Pittsburg, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00336453"
59,"Dose Ranging Study to Evaluate Immunogenicity and Safety of Adjuvanted or Non-adjuvanted Cell Culture-derived H5N1 Influenza Vaccine in Young Adults (18-40 Years Old)","Completed","No Results Available","Influenza","Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 3.75_0%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 3.75_25%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 3.75_50%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 3.75_100%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 7.5_0%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 7.5_25%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 7.5_50%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 7.5_100%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 15_0%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 15_25%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 15_50%MF59|Biological: Cell Culture-Derived H5N1 Subunit Influenza Vaccine, 15_100%MF59","Baylor College of Medicine, Houston, Texas, United States|Universitätsklinikum Gießen und Marburg GmbH, Gießen, Germany","https://ClinicalTrials.gov/show/NCT00812019"
60,"Single Dose Escalating Study of DAS181 in Adults","Completed","No Results Available","Influenza","Drug: DAS181|Drug: Placebo","Comprehensive Phase One, Miramar, Florida, United States","https://ClinicalTrials.gov/show/NCT00527865"
61,"Open-Label Study of H5 Vaccine in Participants of Protocol 04-077","Completed","Has Results","Influenza","Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","UCLA Center For Vaccine Research, Torrance, California, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|Saint Louis University, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00402649"
62,"Pandemic Influenza Plasmid DNA Vaccines (Needle)","Completed","No Results Available","Influenza","Biological: VCL-IPT1|Biological: VCL-IPM1|Biological: PBS","Accelovance, San Diego, California, United States|SNBL, Baltimore, Maryland, United States|SUNY at Stonybrook, Stony Brook Medical Center, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT00709800"
63,"A Prospective Study to Evaluate the Safety of a New Trivalent Intranasal Influenza Vaccine","Completed","Has Results","Influenza","Biological: Trivalent influenza virus vaccine|Biological: Placebo","Covance, Daytona Beach, Daytona Beach, Florida, United States|Covance, Portland, Portland, Oregon, United States|Covance, Austin, Austin, Texas, United States","https://ClinicalTrials.gov/show/NCT00677820"
64,"Pandemic Influenza Plasmid DNA Vaccines (Needle-Free)","Completed","No Results Available","Influenza","Biological: VCL-IPM1|Biological: VCL-IPT1|Biological: PBS","Accelovance, San Diego, California, United States|SNBL, Baltimore, Maryland, United States|SUNY at Stonybrook, Stony Brook Medical Center, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT00694213"
65,"A Phase I Safety and Immunogenicity Study of Mix and Match of Licensed Flu Vaccine and Flumist","Completed","No Results Available","Influenza","Biological: FluMist|Biological: Fluzone","Saint Louis University, St. Louis, Missouri, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00231907"
66,"Safety Study of Recombinant M2e Influenza-A Vaccine in Healthy Adults","Completed","Has Results","Influenza","Biological: Influenza A Vaccine: ACAM FLU-A|Biological: Saline placebo","Miami Research Associates, Miami, Florida, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States|Northwest Kinetics, Tacoma, Washington, United States","https://ClinicalTrials.gov/show/NCT00819013"
67,"Crossover Study to Investigate the Safety, Tolerability, and Pharmacokinetics of Repeat Dose Zanamivir/Placebo Via Devices Administered Twice Daily for 5 Days","Completed","No Results Available","Influenza A Virus, H1N1 Subtype","Drug: Zanamivir","GSK Investigational Site, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00989404"
68,"Influenza Vaccination in Patients Receiving Antineoplastic Therapy for Non-Hodgkin's Lymphoma","Completed","No Results Available","Lymphoma","Biological: Trivalent Baculovirus-expressed Influenza HA vaccine","U.T.M.D. Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00307710"
69,"Inactivated Influenza A/H5N1 Vaccine in the Elderly","Completed","No Results Available","Influenza","Biological: Influenza A/H5N1 Vaccine|Drug: Placebo","UCLA Center For Vaccine Research, Torrance, California, United States|University of Rochester Medical Center - Strong Memorial Hospital - Infectious Diseases, Rochester, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00230750"
70,"H5 Booster After a Two Dose Schedule","Completed","No Results Available","Influenza","Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur)","UCLA Center For Vaccine Research, Torrance, California, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|University of Rochester Medical Center - Strong Memorial Hospital - Infectious Diseases, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00240968"
71,"H5 Adult - Chiron Study of Bird Flu Vaccine","Completed","No Results Available","Influenza","Biological: Aluminum hydroxide|Biological: Inactivated Influenza A/H5N1 Vaccine (Chiron)|Biological: MF-59|Drug: Placebo","Stanford University, Stanford, California, United States|Saint Louis University, St. Louis, Missouri, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Vanderbilt University, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00280033"
72,"A Study of Influenza Virus Vaccines in Children and Adults","Completed","Has Results","Influenza","Biological: 2009-2010 Trivalent Influenza Virus Vaccine|Biological: 2008-2009 Trivalent Influenza Virus Vaccine|Biological: Quadrivalent Influenza Virus Vaccine","Durham, North Carolina, United States|Cincinnati, Ohio, United States|Jefferson Hills, Pennsylvania, United States|Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00988143"
73,"A Prospective Study to Evaluate the Safety of a New Monovalent Intranasal Influenza Vaccine","Completed","Has Results","Healthy","Biological: Monovalent influenza virus vaccine|Biological: Placebo","Covance CRU, Inc., Daytona Beach, Florida, United States|Covance CRU, Inc, Portland, Oregon, United States|Covance CRU, Inc, Austin, Texas, United States","https://ClinicalTrials.gov/show/NCT00873912"
74,"Study to Evaluate the Safety of a Monovalent Vaccine of a New 6:2 Reassortant in Healthy Adults (AV024)","Completed","No Results Available","Influenza","Biological: AV024|Other: Placebo","SFBC International Inc, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT00240877"
75,"H5 Vaccine Alone or With Adjuvant in Healthy Adults","Completed","No Results Available","Influenza","Drug: Aluminum hydroxide|Biological: Inactivated Influenza A/H5N1 Vaccine (sanofi pasteur pre-adsorbed)","University of Maryland Baltimore, Baltimore, Maryland, United States|University of Rochester, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Baylor College of Medicine, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00296634"
76,"A/H5N1 Vaccine in Healthy Children Aged 2-9 Years","Completed","No Results Available","Influenza","Biological: Influenza A/H5N1 Vaccine|Drug: Placebo","UCLA Center For Vaccine Research, Torrance, California, United States|University of Maryland Baltimore, Baltimore, Maryland, United States|Saint Louis University, St. Louis, Missouri, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT00133536"
77,"Comparative Study of Influenza Vaccines in Adults, FLUVACS-year 4","Completed","Has Results","Influenza","Biological: Fluzone|Biological: Flumist|Other: Physiologic saline","University of Michigan School of Public Heatlh, Ann Arbor, Michigan, United States|Western Michigan University Health Services, Kalamazoo, Michigan, United States|Central Michigan University Health Services, Mount Pleasant, Michigan, United States|Eastern Michigan University Health Services, Ypsilanti, Michigan, United States","https://ClinicalTrials.gov/show/NCT00538512"
78,"Study of the Safety and Immunogenicity of an Influenza Vaccine Administered to Healthy Adults","Completed","Has Results","Influenza Disease; Flu","Biological: Influenza Virus Vaccine","Bardstown, Kentucky, United States|Pittsburgh, Pennsylvania, United States|Salt Lake City, Utah, United States|Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT00264576"
79,"Evaluate the Safety and Immunogenicity of a Seasonal Influenza VLP Vaccine (Recombinant) in Healthy Adults","Completed","No Results Available","Influenza","Biological: Influenza VLP Vaccine (recombinant)|Biological: Placebo","University Clinical Research, Pembroke Pines, Florida, United States|The Center for Pharmacuetical Research, Kansas City, Missouri, United States|Omega Medical Research, Warwick, Rhode Island, United States|Benchmark Research, Austin, Texas, United States","https://ClinicalTrials.gov/show/NCT00754455"
80,"Alternative Oseltamivir Dosing Strategies","Completed","No Results Available","Influenza","Drug: Oseltamivir","VA Greater Los Angeles Healthcare System, Los Angeles, California, United States|VA Palo Alto Health Care System, Palo Alto, California, United States|National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States|Brooke Army Medical Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00334529"
81,"Safety and Immunogenicity Study of Inactivated Nasal Influenza Vaccine NB-1008","Completed","No Results Available","Healthy Adult Volunteers","Biological: NB-1008|Other: Control","Johnson County Clin-Trials, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT01333462"
82,"Safety and Immunogenicity of Fluzone® Vaccine in Children Who Received 2 Doses of the 2005-2006 Fluzone Formulation.","Completed","Has Results","Influenza","Biological: Influenza Virus Vaccine, Fluzone®","Layton, Utah, United States|Pleasant Grove, Utah, United States|Provo, Utah, United States|Salt Lake City, Utah, United States|South Jordan, Utah, United States","https://ClinicalTrials.gov/show/NCT00390884"
83,"Study to Evaluate the Immune Responses of Trivalent Cold-Adapted Influenza Vaccine (CAIV-T) Compared With (TIV)","Completed","No Results Available","Influenza","Biological: CAIV-T|Other: TIV","Wee Care Pediatrics, Layton, Utah, United States|Bear Care Pediatrics, Ogden, Utah, United States|Alpine Pediatrics, Pleasant Grove, Utah, United States|Utah Valley Pediatrics, Provo, Utah, United States|Families First Pediatrics, South Jordan, Utah, United States","https://ClinicalTrials.gov/show/NCT00111579"
84,"Safety and Reactogenicity of FluBlok and Comparison of Immunogenicity, Efficacy and Effectiveness Against TIV","Completed","Has Results","Influenza","Biological: FluBlok Influenza Vaccination|Biological: TIV (Fluzone) Influenza Vaccination","Kaiser Permanente Pediatric Clinic - Fresno, Fresno, California, United States|Kaiser Permanente Pediatric Clinic - Hayward, Hayward, California, United States|Kaiser Permanente Pediatric Clinic - Roseville, Roseville, California, United States|Kaiser Permanente Pediatric Clinic - Sacramento, Sacramento, California, United States|Kaiser Permanente, Honolulu, Hawaii, United States","https://ClinicalTrials.gov/show/NCT00539864"
